"p_code","Supplier","Cost method","Rate","DCM_clicks","DCM_impressions","DV_impressions"
"PKFRXV","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0XX","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0YT","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0YV","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PKFRYM","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0XY","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0YW","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0YX","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9HP","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9HV","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9HZ","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9J7","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0XZ","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0YY","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0YZ","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PKFS0H","GROUND TRUTH FKA XAD","CPMV","$5.9400",0,0,0
"PJQ0Y0","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0Z0","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0Z1","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9JP","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9JT","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9JW","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJT9K1","GROUND TRUTH FKA XAD","CPMV","$8.1000",0,0,0
"PJQ0Y1","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PJQ0Z2","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PJQ0Z3","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PKFS13","GROUND TRUTH FKA XAD","CPMV","$11.0000",0,0,0
"PJQ0Y2","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Z4","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Z5","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PKFS1B","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Y3","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Z6","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Z7","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PKFS23","GROUND TRUTH FKA XAD","CPMV","$9.9000",0,0,0
"PJQ0Y4","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0Z8","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0Z9","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PKFS2S","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0Y5","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0ZB","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0ZC","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PKFS2Y","GROUND TRUTH FKA XAD","CPMV","$7.2000",0,0,0
"PJQ0YS","GROUND TRUTH FKA XAD","Free","$0.0000",462,242697,172138
"PJQ0ZD","GROUND TRUTH FKA XAD","Free","$0.0000",0,0,0
"PJPSRQ","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJPSRR","NINTHDECIMAL","CPMV","$8.5000",190,111229,72764
"PJPSRS","NINTHDECIMAL","CPMV","$8.5000",238,111608,73737
"PJPSRT","NINTHDECIMAL","CPMV","$8.5000",260,114158,75567
"PJPSRV","NINTHDECIMAL","CPMV","$8.5000",4,6093,1940
"PJPSRW","NINTHDECIMAL","CPMV","$8.5000",14,14891,5768
"PJPSRX","NINTHDECIMAL","CPMV","$8.5000",88,93701,48514
"PJPSRY","NINTHDECIMAL","CPMV","$8.5000",1,1035,681
"PJPSRZ","NINTHDECIMAL","CPMV","$8.5000",203,117970,73554
"PJPSS0","NINTHDECIMAL","CPMV","$8.5000",97,70371,45260
"PJPSS1","NINTHDECIMAL","CPMV","$8.5000",101,75555,47851
"PJQ0V7","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0V8","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0V9","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VB","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VC","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VD","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VF","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VG","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VH","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VJ","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PJQ0VK","NINTHDECIMAL","CPMV","$8.5000",0,0,0
"PK0H8N","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PK0H9Q","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PK0HLF","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PK0HN8","SPOTIFY USA INC","CPMV","$15.6000",0,0,0
"PK0JLG","SPOTIFY USA INC","CPMV","$15.6000",0,0,0
"PK0JM8","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PK0JM9","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PK0JMB","SPOTIFY USA INC","CPMV","$14.0400",0,0,0
"PKQJ9Z","SPOTIFY USA INC","Free","$0.0000",0,0,0
"PKQJCM","SPOTIFY USA INC","Free","$0.0000",0,0,0
"PKQJCN","SPOTIFY USA INC","Free","$0.0000",0,0,0
"PKQJCP","SPOTIFY USA INC","Free","$0.0000",0,0,0
